Name,Summary,Average Runtime,Premiere Date,Genres,Type,Language,Network,Rating,Schedule (days),Total Seasons,Total Episodes
Best Time Ever with Neil Patrick Harris,"Five Emmy Awards and a Tony Award make multi-talented Neil Patrick Harris the perfect star for this live one-hour show that is unlike any other currently on American television. Complete with stunts, skits, pranks, audience interaction, musical numbers, giveaways and unlimited surprises, this show proves that anything can happen, and it can happen to you. Based on the wildly popular British hit ""Ant &amp; Dec's Saturday Night Takeaway,"" the modernized variety show format and its fearless, multi-talented star will make for one of the best nights ever on TV week after week.",60,11/3/2015,"['Comedy', 'Music']",Variety,English,NBC,7.6,['Tuesday'],1,8
Good Luck Charlie,"The series follows two teenagers, Teddy and PJ Duncan and their 10-year-old brother, Gabe whose parents enlist their help when they return to work after the birth of their fourth child, Charlotte (nicknamed ""Charlie""). With their parents juggling full time careers, they pitch in, getting very familiar with baby formula, burps, clothes, and babysitting while navigating typical teenage life. In each episode, Teddy creates a personalized video diary for Charlie. Each video will chronicle Teddy's daily adventures and mishaps for Charlie to use as advice when her big sister is no longer living at home.",30,2/16/2014,"['Comedy', 'Family']",Scripted,English,Disney Channel,7.6,['Sunday'],4,100
An Idiot Abroad,"Ricky Gervais and Stephen Merchant's partner in crime, Karl Pilkington, isn't much of a traveller, but now he is set to experience a variety of people and cultures as he explores the Seven Wonders of the World in this unmissable series.",60,12/14/2012,"['Comedy', 'Adventure', 'Travel']",Documentary,English,Sky Showcase,7.6,['Friday'],3,19
Hellcats,"Marti Perkins (Michalka), a law student at Lancer University, discovers that her scholarship has been cancelled and her well-meaning but irresponsible mother, Wanda (Gail O'Grady, ""NYPD Blue,"" ""American Dreams"") has neglected to inform her. Broke and out of options, Marti realizes the only way she can stay in school is to win a place on the Hellcats - Lancer's legendary cheer squad - and the scholarship that comes with it.",60,5/17/2011,"['Drama', 'Comedy']",Scripted,English,The CW,7.6,['Tuesday'],1,22
The Beverly Hillbillies,"An instant hit, the rural comedy was the ultimate fish-out-of-water story. The Clampett family strikes it rich in oil and move from their mountain cabin in the Ozark Mountains to the upscale neighborhood of Beverly Hills. Each hilarious episode revolves around the culture clash between the ""uncivilized"" Clampetts and the ""civilized"" culture of their elitist neighbors.",30,3/23/1971,['Comedy'],Scripted,English,CBS,7.6,[],9,274
Wolverine and the X-Men,"After a mysterious explosion at the Xavier mansion, and the resulting disappearances of Professor Xavier and Jean Grey, the distraught X-Men disband. But soon, Wolverine, Storm. Beast and the others find themselves together again to battle the increasingly powerful Mutant Response Division, and to prevent a catastrophic future that Xavier has warned must never come to pass.",30,10/23/2009,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Nicktoons,7.6,['Friday'],1,26
Becoming Human,"Follow Adam, Being Human's teenage vampire, as he becomes embroiled in a dark and dangerous mystery. At the heart of Becoming Human are the eight episodes where the story unfolds... but there's more. You can get deeper into the mystery with mobile phone videos, newspaper clippings, character profiles and other updates revealed by the characters themselves as they try and track down the killer.",50,3/20/2011,"['Drama', 'Fantasy', 'Horror']",Scripted,English,BBC Three,7.6,['Sunday'],1,8
Cougar Town,"Jules Cobb is a mom in her forties facing the often humorous challenges, pitfalls and rewards of life's next chapter. Along for the journey is her son, her ex-husband, her husband/neighbor and her friends who together make up her dysfunctional, but supportive and caring extended family... even if they have a funny way of showing it sometimes.",30,3/31/2015,['Comedy'],Scripted,English,TBS,7.6,['Tuesday'],6,102
Ice Pilots NWT,"What's it about: This documentary series follows the pilots of the Yellowknife-based Buffalo Airways, which still flies Second World War airplanes to transport people around the north. Reminds us of: Ice Road Truckers in the air. The buzz: Since History Television is using words like ""ice pilots,"" blizzards"" and ""frozen lakes,"" I'm going to go out on a limb and say this will be like Ice Road Truckers, but with airplanes. Does that mean I won't watch? Are you kidding?? I'll be glued to the set. The chance to see pilots dealing with crappy weather, loopy passengers and potentially dangerous cargo – all being shipped around in planes made in the 1940s – is a recipe for disaster. And great TV.",60,12/17/2014,"['Action', 'Adventure']",Reality,English,History,7.6,['Wednesday'],6,73
Code of a Killer,Code of a Killer is based on the extraordinary true story of Alec Jeffreys' discovery of DNA fingerprinting and its first use by Detective Chief Superintendent David Baker in catching a double murderer. The drama focuses on how Jeffreys' science and Baker's investigative vision created the single biggest leap in the history of criminal investigation.,90,4/13/2015,"['Drama', 'Crime']",Scripted,English,ITV1,7.6,['Monday'],1,2
Upstairs Downstairs,"Revival of the iconic '70s series. Life in a London townhouse in the late 1930s, where the fates of the servants 'downstairs' and their masters 'upstairs' are intimately linked.",60,3/25/2012,['Drama'],Scripted,English,BBC One,7.6,['Sunday'],2,9
American Gothic,"The rural community of Trinity, South Carolina, a postcard-pretty enclave of antebellum houses and manicured lawns, is a town tormented and seduced by the ominous presence of one man, Sheriff Lucas Buck.",60,2/6/1998,"['Drama', 'Horror']",Scripted,English,CBS,7.6,['Friday'],1,22
Love Child,"It's 1969 in Kings Cross and Joan Miller, a smart and sophisticated midwife, returns home from London to take a job at the Kings Cross Hospital and find a new life for herself, at a time when Australia is coming of age and the new generation believes anything is possible.Dr Patrick McNaughton is the head of obstetrics at Kings Cross Hospital, and Frances Bolton is the tough matron who also controls the running of Stanton House, a home for unwed pregnant young women.Their lives intersect between Kings Cross Hospital, Stanton House and the wild streets of Darlinghurst beyond the hospital walls.A powerful and uplifting series, Love Child tells the stories of young women and men fighting an unjust system in a world on the brink of change.",60,7/4/2017,['Drama'],Scripted,English,Nine Network,7.6,['Tuesday'],4,36
Profiler,A crime drama following a criminal profiler working with the F.B.I.,60,7/1/2000,"['Drama', 'Crime', 'Thriller']",Scripted,English,NBC,7.6,['Saturday'],4,83
Crossing Lines,"The series taps into a fictional unit mandated by the International Criminal Court (ICC) to investigate cross-border crimes and ultimately bring global criminals to justice. Crossing Lines is set in the world's most exotic locales, where an elite team of eager cops work to solve the most notorious international crimes.",60,12/4/2015,"['Drama', 'Action', 'Crime']",Scripted,English,TF1,7.6,['Friday'],3,34
The Boondocks,"In The Boondocks, Robert ""Granddad"" Freeman is the cantankerous legal guardian of his rambunctious grandkids Huey and Riley and has moved them from the south side of Chicago to the quiet and safety of ""The Boondocks"" (in this case, suburban Woodcrest), hoping that he can ignore them altogether and enjoy the golden years of his life in peace. But Huey, a 10-year-old left wing revolutionary, is determined not to enjoy the affluence of suburbia. This attitude is seconded by his 8-year-old brother, Riley, a proud product of contemporary rap culture. Although they torture each other and provoke the neighborhood, they are no match for Granddad, who is eccentric even by ""crazy-ass-old-black-man"" standards.",30,6/23/2014,['Comedy'],Animation,English,Adult Swim,7.6,['Monday'],4,55
Aqua Teen Hunger Force,"Aqua Teen Hunger Force follows the adventures of the aptly named Aqua Teen Hunger Force, a group of mystery-solving fast food items. The team consists of Master Shake, or Shake, a rather sadistic, lazy, ordering milkshake who loves to torture Meatwad. Frylock, the floating box of fries, is the brains the group, and contains the one thing that the rest of the group lacks: common sense. Meatwad is a loving, caring, gentle ball of meat that crawls wherever he goes, who is frequently tortured by Shake.",15,12/17/2023,"['Comedy', 'Action', 'Adventure']",Animation,English,Adult Swim,7.6,['Sunday'],12,143
Mildred Pierce,"Mildred Pierce brings to life the memorable character introduced in James M. Cain's classic 1941 novel. The five-part drama offers an intimate portrait of a uniquely independent woman who finds herself newly divorced during the Depression years, as she struggles to carve out a new life for herself and her family. The story explores Mildred's unreasonable devotion to her insatiable daughter, Veda, as well as the complex relationships she shares with the indolent men in her life.",60,4/10/2011,['Drama'],Scripted,English,HBO,7.6,['Sunday'],1,5
Satisfaction,"In Satisfaction, investment advisor Neil Truman and his wife Grace are sifting through their stagnant relationship when Neil discovers that Grace has been seeing a male escort. After an unusual chain of events, he gains a new perspective on his life and what motivates women, while Grace contemplates whether her needs are being met and if her marriage is worth saving.",60,12/18/2015,"['Drama', 'Comedy', 'Romance']",Scripted,English,USA Network,7.6,['Friday'],2,20
"Say ""I Love You""","The story of first love centers around Mei Tachibana, a girl who has never made friends or had a boyfriend in 16 years. One day, she accidentally injures Yamato Kurosawa, the school's most popular boy. For some reason, Yamato becomes interested in Mei and starts a one-sided friendship with her. He even protects her from a stalker — by kissing her.",24,12/30/2012,"['Drama', 'Anime', 'Romance']",Animation,Japanese,Tokyo MX,7.6,['Sunday'],1,13
Les Revenants,"Les Revenants is a unique, stylish and powerful supernatural drama. It follows the residents of a small French alpine town as they come to terms with a series of mysterious and unbelievable occurrences. As a small group of unknowingly deceased men, women and children return from the dead and attempt to re-join the family and friends they left behind years before, the town begins to experience a series of chilling local murders….Beautifully filmed, expertly plotted, and featuring superbly believable performances and an unforgettably atmospheric soundtrack by cult Scottish group Mogwai, The Returned is the most original and enthralling series in years.",60,10/19/2015,"['Drama', 'Fantasy', 'Horror']",Scripted,French,Canal+,7.6,['Monday'],2,16
Dragon Ball GT,"After the Buu saga ended in Dragonball Z, Toriyama wanted to end the series and start on another project. However Toei, the animation company wanted to continue the Dragonball series. Hence without Dragonball's main man, they developed a new series called Dragonball GT ""Grand Tour."" The story focuses on Goku, Pan and Trunks as they travel the galaxy in search of the universal black star Dragonballs. When the series started, it went back to a similar environment like Dragonball with humor and simplicity in mind. That proved un popular among fans. As such they went back to the old ""beat or be beat"" type of series fans so much adored.",30,11/19/1997,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,Fuji TV,7.6,['Saturday'],2,64
Wayward Pines,"Imagine the perfect American town... beautiful homes, manicured lawns, children playing safely in the streets. Now imagine never being able to leave. You have no communication with the outside world. You think you're going insane. You must be in Wayward Pines.",60,7/27/2016,"['Drama', 'Science-Fiction', 'Mystery']",Scripted,English,FOX,7.6,['Wednesday'],2,20
The Secret Circle,"After Diana introduces Cassie to other members of the circle, they reveal themselves as witches, and that she is one as well. Initially, Cassie refuses to believe them - until Adam shows her how to unlock her magical powers. After Cassie reluctantly joins the circle, Adam, Diana, Faye, and the other members of the coven quickly discover that with Cassie in their circle, they are able to cast spells more powerful than they ever could before.",60,5/10/2012,"['Drama', 'Horror', 'Supernatural']",Scripted,English,The CW,7.6,['Thursday'],1,22
Conan,"The biggest celebrities, the hottest musical guests, the craziest sketches... and Andy Richter, to boot? Yes, some would say Conan O'Brien's talk show on TBS has everything a late night viewer could want.",55,6/24/2021,['Comedy'],Talk Show,English,TBS,7.6,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']",12,1501
Hostages,"Yael is a surgeon at hospital, scheduled to surgery the Prime Minister of Israel. things start to be complicated when the hijackers take over the house, and require her to kill the Prime Minister and threatening to eliminate her family if she did not comply with their demands. Is she going to do the right thing?",51,4/19/2016,"['Drama', 'Crime']",Scripted,Hebrew,Channel 10,7.6,['Tuesday'],2,22
Rookie Blue,"The stakes are high for five young cops fresh out of the Academy and ready for their first day with one of the most elite units in the city. Under the watchful guidance of their officers, Andy McNally and her four fellow rookies quickly learn that no amount of training could prepare them for this new world where every day is a first. Each case they tackle and choice they make will impact their lives, but it's their personal relationships that may play an even greater role in defining the cops they become.",60,7/29/2015,"['Drama', 'Action', 'Crime']",Scripted,English,Global,7.6,['Wednesday'],6,74
Long Way Round,"Setting off from London, Ewan and Charley travel through some of the most beautiful, but often dangerous, terrain the world has to offer. Crossing over into mainland Europe, they travelled through France, Belgium, Germany, Czech Republic, Slovakia, Ukraine, Russia, Kazakhstan, Mongolia, Siberia, Alaska, Canada and three months later they arrived at their final destination, New York City USA!",60,11/29/2004,"['Adventure', 'Travel']",Documentary,English,Sky Showcase,7.6,['Monday'],1,7
The Lover,"Oh Jung Se and Ryu Hyun Kyung play the main couple in their 30s who chose to live together instead of getting married, and have been sharing an apartment for two years. Oh Jung Se plays a voice actor and Ryu Hyun Kyung plays a reviewer who runs a blog.Choi Yeo Jin and Jung Joon Young have been cast as the second couple — they're twelve years apart in age and have been living together for a year. He's a pretty-boy singer who carries his guitar everywhere he goes, but doesn't actually know how to play it all that well. She's a penny-pinching ajumma in the body of a hot woman who basically supports her much younger boyfriend. He drives her crazy but he's a good guy at heart, and she can never manage to stay mad at him for long. Ha Eun Sul and Park Jong Hwan play a 20s couple that just moved in together. She's the type of woman who doesn't want her boyfriend to know th",60,6/25/2015,"['Comedy', 'Romance']",Scripted,Korean,Mnet,7.6,['Thursday'],1,12
Kim Possible,"Disney's smash hit Kim Possible is all about a high school teen, balancing the cheerleading captain position, honor roll, and many more, including saving the world from villains. Of course, all heroes need a wisecracking, clumsy partner. ""KP"" is no exception. The comic relief of the heroic duo, Ron is always there for Kim. Call Me, Beep Me, If you wanna reach me.",30,9/7/2007,"['Comedy', 'Action', 'Adventure']",Animation,English,Disney Channel,7.6,['Saturday'],4,88
Oggy et les Cafards,"The show centers on Oggy, a content and lazy, albeit very tender fat blue cat, who would usually spend his days watching TV and cooking - if it wasn't for the three pesky roaches in the household: Joey, Dee Dee and Marky (named after members of the punk group Ramones). The trio seems to enjoy generally making Oggy's life miserable, which involves mischief ranging from (in most cases) plundering his fridge to such awkward things like hijacking the train Oggy just boarded.",9,12/13/2021,"['Comedy', 'Children']",Animation,French,Gulli,7.6,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",8,579
Gangsta.,"In the crime-ridden, mafia-governed city of Ergastulum, Worick and Nicolas are two ""handymen"" known as ""Benriya"" who would take any dirty job from either police or mafia -- for a good price. After an assignment from police the two met and later joined by Alex, a former prostitute who got interested in the mysterious background of the team, in particular of Nicolas' abilities.",25,9/27/2015,"['Drama', 'Anime', 'Crime']",Animation,Japanese,ABC,7.6,[],1,12
Las Vegas,"Take a spin on the wheel of TV's most electrifying series ever, Las Vegas. The slots are hot and the girls are even hotter starring some of today's biggest guest stars. Follow the fast-paced exploits and action-packed escapades at the Montecito Hotel and Casino with an elite Las Vegas surveillance team, led by commanding Big Ed Deline and his slick, good-looking right hand man, Danny McCoy. Along with the sexiest support team to hit the Strip, they're out to catch card-counting cheaters, costly streaks of random luck and the schemes of rival casinos. It's Sin City like you've never seen it before in the series Variety declares is ""Bottom line: Jackpot"".",60,2/15/2008,"['Drama', 'Crime']",Scripted,English,NBC,7.6,['Friday'],5,106
Darker Than Black,"In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is one of the most powerful of these psychic agents, and along with his blind associate, Yin, works for one of the many rival agencies vying to unlock the mysteries of Hell's Gate.",30,12/24/2009,"['Drama', 'Action', 'Anime', 'Science-Fiction']",Animation,Japanese,MBS,7.6,['Thursday'],2,37
Detroit 1-8-7,"Welcome to Detroit Homicide. These are the detectives who dedicate their lives to protecting a city they love. Get an insiders glimpse at what it means to serve and protect. It's their city, everything is personal.",60,3/20/2011,"['Drama', 'Action', 'Crime']",Scripted,English,ABC,7.6,['Tuesday'],1,18
Dirt,"Dirt features Hollywood scandals ripped from the headlines. Lucy Spiller is the stalwart, unrelenting editor-in-chief of the tabloid magazine Dirt Now. With an uncanny sixth sense for the truth and an infallible instinct for cover-ups, Lucy exposes the secrets and lies of the famous and the infamous through her magazine with rancorous accuracy.",60,4/13/2008,['Drama'],Scripted,English,FX,7.6,['Sunday'],2,20
Xena: Warrior Princess,"""In a time of ancient gods, warlords, and kings, a land in turmoil cried out for a hero. She was Xena, a mighty princess, forged in the heat of battle. The power... the passion... the danger... Her courage will change the world"".This spin-off from Hercules: The Legendary Journeys (1995), Xena is a feisty and fearless warrior princess who fights everything evil along with her sidekick Gabrielle in Xena: Warrior Princess.",60,6/25/2001,"['Action', 'Adventure', 'Fantasy']",Scripted,English,Syndication,7.6,[],6,134
Harper's Island,"Harper's Island is about a group of family and friends who travel to a secluded island for a destination wedding. They've come to laugh... to love... and, though they don't know it... to die. As the wedding festivities begin, friendships are tested and secrets exposed as a murderer claims victims, one by one, transforming the wedding week of fun and celebration into a terrifying struggle for survival. In every episode, someone is killed and every person is a suspect, from the wedding party to the island locals. By the end of the 13 episodes, all questions will be answered, the killer will be revealed and only a few will survive.",60,7/11/2009,"['Horror', 'Thriller', 'Mystery']",Scripted,English,CBS,7.6,['Saturday'],1,13
Togetherness,"Brett and Michelle are struggling to rekindle the spark in their relationship, which has puttered out from the stresses of marriage and children. When Brett's friend Alex and Michelle's sister, Tina, move in with them, the foursome engage in a tragically comedic struggle to follow their personal dreams, while still remaining good friends, siblings and spouses to each other.On March 25, 2016, it was announced that <i>Togetherness</i> would not be renewed for a third season.",31,4/10/2016,['Comedy'],Scripted,English,HBO,7.6,['Sunday'],2,16
Simon & Simon,"Rick and AJ Simon are two brothers working as private investigators in San Diego, California. They have different ideas on how to solve problems: Rick more laid back while AJ is more business-like and thier cases take them all over California as well as Hawai'i and France. They are more than brothers, they are the best of friends.",60,3/2/1989,['Drama'],Scripted,English,CBS,7.6,['Thursday'],8,156
Newhart,"Bob Newhart returns to the TV as Dick Loudon, as he and his wife Joanna decide to leave life in New York City and buy a little inn in Vermont. Dick is a how-to book writer, who eventually becomes a local TV celebrity as host of ""Vermont Today.""",30,5/21/1990,['Comedy'],Scripted,English,CBS,7.6,[],8,184
Life in Pieces,"Life in Pieces is a single-camera comedy about one big happy family and their sometimes awkward, often hilarious and ultimately beautiful milestone moments as told by its various members. Of the three siblings, middle child Matt may have just found his true love, his co-worker, Colleen; his coddled youngest brother, Greg, and his wife, Jen, are overwhelmed by the birth of their first child; and the eldest, Heather, and her husband, Tim, are dreading their impending empty nest so much, they're considering having another baby. Their parents are Joan, the family's adoring matriarch who would do anything for her kids - as long as she agrees with it - and John, the gregarious patriarch who's searching for ways to soften the blow of turning 70. As the family's lives unfold in four short stories each week, they try to savor these little pieces of time that flash by but stay with you forever, because these moments add up to what life's all about.",30,6/27/2019,"['Comedy', 'Family']",Scripted,English,CBS,7.6,['Thursday'],4,79
Hit & Miss,Mia's a contract killer with a big secret - she used to be a man. As the series starts her ex-girlfriend reveals that she's dying and that they had a child. The show follows Mia's trials as she tries to separate her killer instincts with her parental ones.,60,6/26/2012,"['Drama', 'Action', 'Crime']",Scripted,English,Sky Atlantic,7.6,['Tuesday'],1,6
Marvel's Guardians of the Galaxy,"Marvel's Guardians of the Galaxy features themes of redemption and the importance of friendships and family told through a series of riveting sequential story arcs. The series follows the newly-formed team who finds a strange artifact keyed only to the DNA of Peter Quill. Upon opening it, Quill unleashes a treasure map leading to a powerful weapon known as the Cosmic Seed which is capable of giving birth to the next universe. It's up to the Guardians to find, protect and ultimately destroy the Cosmic Seed in order to keep it out of the hands of those who would abuse its power, from galactic big boss Thanos, to the conniving brothers the Collector and the Grandmaster, to a resurrected Ronan, to the ultimate trickster, Loki, in order to save the universe.",30,6/9/2019,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Disney XD,7.6,['Sunday'],3,77
Wilfred,"Everyone else sees Wilfred as a dog, but Ryan sees a crude, surly, irrepressibly brave and honest man in a dog suit.",30,8/13/2014,"['Drama', 'Comedy', 'Mystery']",Scripted,English,FXX,7.6,['Wednesday'],4,49
Rev.,Sitcom about a former rural parish vicar trying to cope with the varied demands of running an inner-city church. Starring Tom Hollander.,30,4/28/2014,['Comedy'],Scripted,English,BBC Two,7.6,['Monday'],3,19
Hawaii Five-0,"Hawaii Five-0 is a contemporary take on the classic series about a new elite federalized task force whose mission is to wipe out the crime that washes up on the Islands' sun-drenched beaches. Detective Steve McGarrett, a decorated Naval officer-turned-cop, returned to Oahu to investigate his father's murder and stayed after Hawaii's former governor persuaded him to head up the new team: his rules, no red tape and full blanket authority to hunt down the biggest ""game"" in town. Joining McGarrett is Detective Danny ""Danno"" Williams, a relocated ex-New Jersey cop - a working man in paradise who prefers skyscrapers to the coastline - but who's committed to keeping the Islands safe for his young daughter; Chin Ho Kelly, an ex-Honolulu police detective and former protégé of McGarrett's father who was wrongly accused of corruption; Dr. Max Bergman, the quirky coroner; Chin's cousin, Kono Kalakaua, a beautiful and fearless native; and Captain Lou Grover, who formerly headed Hawaii's SWAT unit. Joining them is Jerry Ortega, a former classmate of Chin's and the Island's local conspiracy theorist. The state's brash FIVE-0 unit, who may spar and jest among themselves, remain determined to eliminate the seedy elements from the 50th state.",60,4/3/2020,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,7.6,['Friday'],10,240
CSI: Miami,"CSI: Miami is a drama that follows a South Florida team of forensic investigators who use both cutting-edge scientific methods and old-fashioned police work to solve crimes.<br /><br />Horatio Caine, a former homicide detective, heads a group of investigators who work crimes amid the steamy tropical surroundings and cultural crossroads of Miami. His team includes Calleigh Duquesne, a bilingual Southern beauty with a specialty in ballistics; Eric Delko, an underwater recovery expert who knows all the twists and turns of the Florida waterways, and Ryan Wolfe, a former patrol officer who specializes in blood and trace evidence.<br /><br />Rounding out the team is Alexx Woods, the no-nonsense know-it-all coroner, and Natalia Boa Vista, the enigmatic DNA specialist. Helping Horatio with cases is Det. Frank Tripp, a tough yet thorough police officer.<br /><br />Together, these investigators collect and analyze the evidence to solve the crimes and to avenge those who cannot speak for themselves--the victims.",60,4/8/2012,"['Drama', 'Crime']",Scripted,English,CBS,7.5,[],10,232
Royal Pains,"Royal Pains centers on young doctor Hank Lawson who seems to have it all... thriving career, beautiful girlfriend, and swank NYC apartment. With one fateful and principled decision in the ER, Hank loses it all. Months later, single and blackballed from the medical community, Hank goes for a weekend in the Hamptons with his best friend. Crashing a party at a mega-mansion on the beach, Hank jumps into action when a guest requires medical attention that only he is able to diagnose. The next morning, Hank is summoned to another mansion. And then another. Hank's career is revived, but in a way he's not exactly happy about, as he becomes the on-call doctor for the rich, famous and infamous. Anyone who's anyone in the Hamptons has a lawyer on retainer. Now meet the newest accessory - the concierge doctor.",60,7/6/2016,"['Drama', 'Comedy', 'Family']",Scripted,English,USA Network,7.5,['Wednesday'],8,104
The Deep,"In the state-of-the-art research submarine Orpheus, Captain Frances Kelly leads a team of scientists deep below the Arctic ice. They are following the path of an earlier, disastrous expedition; searching the final frontiers of Earth for unknown and remarkable life forms, attempting to find the solution to the world's escalating energy crisis.<br /><br />Enduring crushing pressure, boiling vent gases, freezing temperatures and total darkness, the Orpheus arrives at the Lomonosov Ridge, an enormous area of sea bed which is disputed territory, currently under the United Nations' jurisdiction. Nobody comes here. But there is something else out here: something huge and bewildering. And, as the Orpheus crew struggle for survival and attempt to unravel the mystery, they uncover secrets more terrifying than they ever could have imagined…",60,8/31/2010,['Drama'],Scripted,English,BBC One,7.5,['Tuesday'],1,5
Felicity,"A smart series about an idealistic student getting lessons in life and love at a Manhattan university after following her high-school crush east from California. Throughout most of the series' run, she was emotionally torn between somber Ben and sensitive Noel. A doctor's daughter, she also struggled to decide if she should follow in his footsteps or pursue her first love, art.",60,5/22/2002,"['Drama', 'Romance']",Scripted,English,The WB,7.5,[],4,84
Being Human,"Being Human is a series based on the UK series of the same name. It is a supernatural orientated around a vampire, ghost and werewolf trying to live under the same household.",60,4/7/2014,"['Drama', 'Horror', 'Romance']",Scripted,English,Syfy,7.5,['Monday'],4,52
The League,"The League follows Kevin, a happily married father and commissioner of the fantasy football league; Jenny, Kevin's wife and his better half - especially when it comes to fantasy football; Pete, the perennial league champ who is struggling to become an adult; Taco, Kevin's little brother, a part-time musician and full-time stoner with little interest in fantasy other than hanging with his buddies; Ruxin, who believes he is the smartest of the group but can't figure out how exactly the other guys are screwing him over; and Andre, the punching bag of the group since their high school days - a fact that hasn't changed despite the fact he is now a successful plastic surgeon.",30,12/9/2015,"['Comedy', 'Sports']",Scripted,English,FXX,7.5,['Wednesday'],7,84
Reign,"Hidden between the lines of the history books is the story of Mary Stuart, the young woman the world would come to know as Mary, Queen of Scots. Queen of Scotland since she was six days old, the teenage Mary is already a headstrong monarch - beautiful, passionate, and poised at the very beginning of her tumultuous rise to power. Arriving in France with four close friends as her ladies-in-waiting, Mary has been sent to secure Scotland's strategic alliance by formalizing her arranged engagement to the French king's dashing son, Prince Francis. But the match isn't signed and sealed, it depends more on politics, religion and secret agendas than affairs of the heart. With danger and sexual intrigue around every dark castle corner, Mary rallies her ladies-in-waiting and steels herself, ready to rule the new land and balance the demands of her country and her heart.",60,6/16/2017,"['Drama', 'Romance', 'History']",Scripted,English,The CW,7.5,['Friday'],4,78
Desperate Housewives,"In the town of Fairview there's a street called Wisteria Lane; a peaceful cul-de-sac with manicured lawns and beautiful houses. It's a place where you know all your neighbors and your neighbors know all about you. It's the perfect suburban fantasy. But, behind every picket fence there are secrets. And, in every seemingly happy home, you'll find jealousy, lust, passion, and sometimes…murder.",55,5/13/2012,"['Drama', 'Comedy', 'Mystery']",Scripted,English,ABC,7.5,['Sunday'],8,180
Caprica,"Set 58 years before <i>Battlestar Galactica</i>, Caprica follows two rival families - the Graystones and the Adamas - as they grow, compete, and thrive in the vibrant world of the peaceful 12 Colonies, living in a society close to our own. Entangled in the burgeoning technology of artificial intelligence and robotics that will eventually lead to the creation of the Cylons, the two houses go toe-to-toe, blending action with corporate conspiracy and sexual politics.Daniel Graystone, a computer genius, is owner of a large computer corporation that is spearheading the development of artificial intelligence. He and his wife Amanda, who's a brilliant surgeon, are both relentless in their scientific pursuits. The Adama clan is helmed by Joseph Adama, a renowned criminal defense attorney and father of future Battlestar commander William Adama. When tragedy strikes both families, lines are drawn that will determine the fate of the human race.",60,1/4/2011,"['Drama', 'Science-Fiction']",Scripted,English,Syfy,7.5,['Tuesday'],1,18
Tanked,"Following the antics of two brothers-in-law as they run the largest aquarium manufacturing company in the nation, Tanked dunks viewers into the high-decibel, family-owned business of Acrylic Tank Manufacturing (ATM). Led by business partners, best friends and rivals Wayde King and Brett Raymer and housed in a state-of-the-art, cavernous facility located in the center of Sin City, ATM has created thousands of enormous, conceptual aquariums for high-profile clients. Working with opinionated and outrageous family and staff, the duo takes on jaw-dropping aquarium builds from such intricate and interesting locations as inside restaurants, casinos, bank, hotels, churches, offices, mansions, museums and zoos. Their tanks are for celebrities and ordinary Joes, and their aquariums and their business are filled with the most unusual and larger-than-life creatures in the world.",60,12/28/2018,['Unknown'],Reality,English,Animal Planet,7.5,['Friday'],15,140
Faking It,"Faking It is a romantic comedy about two best friends who love each other - in slightly different ways. After numerous failed attempts to become popular, the girls are mistakenly outed as lesbians, which launches them to instant celebrity status. Seduced by their newfound fame, Karma and Amy decide to keep up their romantic ruse.",30,5/17/2016,"['Comedy', 'Romance']",Scripted,English,MTV,7.5,['Tuesday'],3,38
How to Get Away with Murder,"The brilliant, charismatic and seductive Professor Annalise Keating gets entangled with four law students from her class, How to Get Away with Murder. Little do they know that they will have to apply what they learned to real life, in this masterful, sexy, suspense-driven legal thriller.",60,5/14/2020,"['Drama', 'Thriller', 'Legal']",Scripted,English,ABC,7.5,['Thursday'],6,90
Ground Floor,"In this brand-new comedy series from the creator of <i>Cougar Town</i> &amp; <i>Scrubs</i>, a young hot-shot falls for a beautiful woman who works on the ground floor.",30,2/10/2015,['Comedy'],Scripted,English,TBS,7.5,['Tuesday'],2,20
United States of Tara,"She's got a husband, two kids and multiple personalities. Emmy® and Golden Globe® winner Toni Collette never knows what or who will happen in this smart, unique and totally unpredictable Showtime Original Comedy Series from executive producer Steven Spielberg. Tara's Alters include ""T"" the wild-child teenager, ""Buck"" the rough and tumble biker dude, and ""Alice"" the type-A homemaker. But with a family that loves her just the way she is. Tara never gives up hope that someday she can just be herself.",30,6/20/2011,"['Drama', 'Comedy']",Scripted,English,Showtime,7.5,['Monday'],3,36
House of Anubis,"It's up to Eddie and his friends to reform Sibuna in order to stop an ancient curse from being unleashed. But when teachers and even friends are not what they seem, who can be trusted?",30,6/17/2013,"['Drama', 'Fantasy', 'Mystery']",Scripted,English,Nickelodeon,7.5,['Thursday'],3,191
Chaos,Chaos is a comedic drama about a group of rogue CIA spies in the Clandestine Administration and Oversight Services.,60,7/16/2011,"['Drama', 'Comedy', 'Espionage']",Scripted,English,CBS,7.5,['Saturday'],1,13
